種別,物件名,販売価格,所在地,沿線・駅,間取り,土地面積,建物面積,築年月,坪単価,URL,情報取得日
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能♪】,2980万円,岐阜県岐阜市手力町,名鉄各務原線「手力」徒歩11分,4LDK,149.65m2・150.53m2（45.26坪・45.53坪）,108.49m2・110.15m2（32.81坪・33.32坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78680484/,2026-02-01
新築,■当社限定特典有、即日案内可能！■頭金０円、他借入もおまとめローン可能！,2980万円,岐阜県岐阜市西鶉６,ＪＲ東海道本線「西岐阜」車3.9km,4LDK,175.21m2・175.22m2（53.00坪・53.00坪）,111.27m2・112.62m2（33.65坪・34.06坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78453302/,2026-02-01
新築,◆成約特典：ＪＣＢ商品券9.5万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2980万円,岐阜県岐阜市手力町15番6、7,名鉄各務原線「手力」徒歩11分,4LDK,149.65m2・150.53m2（45.26坪・45.53坪）（登記）,108.49m2・110.15m2（32.81坪・33.32坪）（実測）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78627179/,2026-02-01
新築,１／３１更新飯田グループHD≪ホームトレードセンター≫【本日見学可能】,2980万円,岐阜県岐阜市西鶉６,ＪＲ東海道本線「西岐阜」車3.9km,4LDK,175.21m2・175.22m2（53.00坪・53.00坪）,111.27m2・112.62m2（33.65坪・34.06坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78486813/,2026-02-01
新築,＼即日案内可能／並列４台駐車◎南向きの全５棟！長期優良住宅☆,2980万円,岐阜県岐阜市西鶉６,ＪＲ東海道本線「岐阜」バス24分停歩4分,4LDK,175.21m2・175.22m2（53.00坪・53.00坪）,111.27m2・112.62m2（33.65坪・34.06坪）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79054728/,2026-02-01
新築,マネープライス相談会開催　最新のニーズを現地で見てください,2980万円～3380万円,岐阜県羽島市竹鼻町飯柄字東折戸1052番5　他,名鉄竹鼻線「竹鼻」徒歩22分,4LDK,183.53m2～191.94m2（55.51坪～58.06坪）（登記）,111.78m2～114.48m2（33.81坪～34.63坪）（登記）,,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78735704/,2026-02-01
新築,陽当たり抜群×駐車3台可！快適立地の最終1棟限定,3030万円,岐阜県岐阜市西中島４-4番1,ＪＲ東海道本線「西岐阜」徒歩48分,4LDK,174.64m2,109.32m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78050646/,2026-02-01
新築,【厚見小】新春キャンペーン開催！【内覧会開催中】,3080万円,岐阜県岐阜市正法寺町46-5・6,名鉄名古屋本線「岐南」徒歩14分,4LDK,178.43m2,109.74m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_77259878/,2026-02-01
新築,12/22より新価格！岐阜環状線に近く買い物に便利な立地！耐震3・ＺＥＨ,3150万円,岐阜県岐阜市旦島１-７番,岐阜バス「島消防署前」徒歩5分,4LDK,166.91m2（登記）,111.28m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_76147939/,2026-02-01
新築,◆成約特典：ＪＣＢ商品券10万円＆ヤマダ電機特別割引券◆長期優良住宅◆,3150万円・3480万円,岐阜県瑞穂市中宮393-1他,樽見鉄道「横屋」徒歩20分,3LDK・5LDK,218.18㎡・333.96㎡（65.99坪・101.02坪）（登記...,96.88m2・129.03m2（29.30坪・39.03坪）（実測）,,,https://suumo.jp/ikkodate/gifu/sc_mizuho/nc_79141256/,2026-02-01
新築,【5月完成予定！】小中学校歩15分圏内！リビング20畳の広々空間！,3199万円,岐阜県各務原市那加織田町１,名鉄各務原線「各務原市役所前」徒歩7分,4LDK,113.89m2,105.58m2,,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_20106540/,2026-02-01
新築,☆ママさん目線の家☆家計に優しいオール電化で、家族の笑顔が溢れる暮らし,3250万円,岐阜県岐阜市六条大溝２-13-15,ＪＲ東海道本線「西岐阜」徒歩36分,4LDK+S（納戸）,193.12m2,121.33m2,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_76073517/,2026-02-01
新築,マネープライス相談会開催　最新のニーズを現地で見てください,3280万円・3480万円,岐阜県羽島市正木町新井4丁目773-6他,名鉄竹鼻線「江吉良」徒歩32分,4LDK,217.96m2（65.93坪）,113.85m2・115.09m2（34.43坪・34.81坪）,,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78848867/,2026-02-01
新築,【ナカジツの新築】◆長期優良住宅◆◇太陽光パネル標準設置◆駐車3台可能※,3330万円,岐阜県岐阜市東鶉３,名鉄竹鼻線「柳津」徒歩30分,3LDK・4LDK,153.92m2（46.56坪）（実測）,104.49m2・104.9m2（31.60坪・31.73坪）（実測）,,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78477263/,2026-02-01
新築,【タマタウン本田小】価格相談できます！希望を実現します！ご成約特典あり！,3380万円～3480万円,岐阜県瑞穂市本田字畑中前768-1,みずほバス「本田団地北」徒歩6分,3LDK～4LDK,247.96m2～266.95m2（75.00坪～80.75坪）（実測）,113.65m2～116.52m2（34.37坪～35.24坪）（実測）,,,https://suumo.jp/ikkodate/gifu/sc_mizuho/nc_77994026/,2026-02-01
新築,電車も車も交通アクセス良好で利便性の高い立地！買い物施設も身近に揃います！,3380万円～3680万円,岐阜県各務原市鵜沼西町１-884番1,名鉄各務原線「鵜沼宿」徒歩11分,4LDK+S（納戸）,149.06m2～167.22m2,112.2m2～115.1m2,,,https://suumo.jp/ikkodate/gifu/sc_kakamigahara/nc_78775512/,2026-02-01
